iter	MAE	RMSE
0	8.738055542	11.23278644
1	8.351249619	10.81651676
2	8.001613235	10.42076088
3	7.663580955	10.04855804
4	7.336748693	9.693669245
5	7.037342684	9.349052657
6	6.753583527	9.036739446
7	6.492092837	8.733573397
8	6.244207542	8.461512463
9	6.009431717	8.199841753
10	5.798304142	7.965355522
11	5.601843885	7.744151054
12	5.418245738	7.533845426
13	5.249931175	7.339444456
14	5.102771611	7.158156667
15	4.955085005	6.990038214
16	4.827290984	6.833628709
17	4.703259865	6.6655633
18	4.591514718	6.522073372
19	4.490924714	6.389393294
20	4.396636164	6.257487153
21	4.306813612	6.134022028
22	4.225771305	6.029511615
23	4.147987109	5.911653759
24	4.082732904	5.812339445
25	4.019381937	5.725447913
26	3.959377115	5.639239885
27	3.903809316	5.554942356
28	3.848345671	5.46977779
29	3.793184231	5.397016606
30	3.741405391	5.323708605
31	3.695003483	5.251231298
32	3.651446104	5.18972438
33	3.607309727	5.1197054
34	3.572764907	5.064685373
35	3.543485933	5.016194392
36	3.512001714	4.964781472
37	3.480219884	4.919764499
38	3.451457517	4.870582841
39	3.427760507	4.82904946
40	3.404591016	4.790179487
41	3.380730898	4.751035354
42	3.355177028	4.70812625
43	3.332390381	4.670284461
44	3.31094678	4.635798144
45	3.28637911	4.596560639
46	3.264249164	4.561163962
47	3.245070799	4.529319644
48	3.22376936	4.497282504
49	3.195655063	4.458809723
50	3.168314041	4.41816616
51	3.145593624	4.386058484
52	3.128384687	4.35930062
53	3.11236346	4.332375254
54	3.093786183	4.304990007
55	3.076790017	4.281346813
56	3.062063142	4.258940558
57	3.050908379	4.239766116
58	3.036818897	4.220985202
59	3.018112097	4.194284985
60	3.000254194	4.169269289
61	2.986112072	4.148515619
62	2.97298622	4.129900501
63	2.956896739	4.107473341
64	2.942074964	4.087354439
65	2.919706461	4.054328216
66	2.907701637	4.038475684
67	2.890470493	4.013016877
68	2.871083111	3.984335826
69	2.858013743	3.967485361
70	2.84567609	3.949374547
71	2.835299952	3.934918864
72	2.823920894	3.918877357
73	2.806812951	3.893505556
74	2.798325513	3.880447679
75	2.786079183	3.863675772
76	2.76489473	3.835260099
77	2.75423014	3.820697235
78	2.737470951	3.798370835
79	2.728464195	3.787105677
80	2.715928314	3.770531338
81	2.706318322	3.759097182
82	2.690074379	3.73609248
83	2.679844241	3.722228484
84	2.671458389	3.709844712
85	2.659356461	3.694867193
86	2.650693116	3.681338459
87	2.637382197	3.664146219
88	2.628225458	3.652780954
89	2.619211834	3.641790795
90	2.605643214	3.622627967
91	2.593304799	3.605233074
92	2.586256992	3.595896359
93	2.579587812	3.587586097
94	2.574543865	3.580590363
95	2.566215596	3.569675671
96	2.552962157	3.55384798
97	2.544590249	3.543979365
98	2.532818962	3.527227209
99	2.528216506	3.52079532
100	2.523216143	3.513081923
101	2.514972694	3.502336211
102	2.494678875	3.476837783
103	2.481992797	3.461282476
104	2.472537763	3.449778682
105	2.46519126	3.441360702
106	2.454226696	3.426984371
107	2.445484546	3.415601098
108	2.435807788	3.401188257
109	2.427168579	3.390408907
110	2.422339541	3.384113823
111	2.413675726	3.373015511
112	2.404356906	3.361091895
113	2.399407772	3.353763244
114	2.388404407	3.338259357
115	2.379897347	3.325685977
116	2.37458348	3.318422108
117	2.367466694	3.309739556
118	2.359173473	3.298481984
119	2.351116139	3.289056406
120	2.341655462	3.278474444
121	2.335174105	3.271005022
122	2.32718923	3.261555226
123	2.320096841	3.253408291
124	2.315023855	3.247400615
125	2.30922961	3.240340675
126	2.302677416	3.232429477
127	2.29856594	3.227197407
128	2.29266172	3.219216151
129	2.288034214	3.213538267
130	2.281536985	3.20490646
131	2.276909282	3.199254955
132	2.273640305	3.1931026
133	2.268259048	3.186167775
134	2.260300813	3.175658731
135	2.255843441	3.17007889
136	2.24945974	3.162993883
137	2.241647738	3.152777607
138	2.23452718	3.144868987
139	2.231155071	3.138751835
140	2.225941848	3.132286203
141	2.222175417	3.127381061
142	2.215538006	3.11926075
143	2.208474735	3.111052997
144	2.205611751	3.106226808
145	2.196090147	3.094529269
146	2.190206476	3.086935085
147	2.187392198	3.081674472
148	2.183611143	3.077798739
149	2.180336234	3.073741119
150	2.175477567	3.067465485
151	2.167671887	3.058111316
152	2.158942516	3.046513296
153	2.154334278	3.041025247
154	2.147914998	3.033289325
155	2.140308488	3.025160371
156	2.135393936	3.018064863
157	2.128693132	3.009102948
158	2.122190309	3.002819735
159	2.11916268	2.997915115
160	2.114084158	2.992574322
161	2.105240009	2.982219927
162	2.101075182	2.977856603
163	2.098074966	2.97304141
164	2.092859097	2.967571396
165	2.088281073	2.961519272
166	2.0822147	2.954175476
167	2.076398262	2.945975734
168	2.07186158	2.941176983
169	2.066238344	2.934619169
170	2.060850286	2.927519629
171	2.055849303	2.921654388
172	2.05038265	2.914618147
173	2.04109976	2.90375324
174	2.028790954	2.889242187
175	2.025177874	2.885854189
176	2.021504189	2.881377804
177	2.015087188	2.873012599
178	2.009609597	2.865960523
179	2.004849335	2.86049493
180	1.998380744	2.853222904
181	1.995917697	2.849567934
182	1.992550063	2.844932994
183	1.987101463	2.839478268
184	1.984376719	2.835820657
185	1.980466077	2.830797935
186	1.978356566	2.828388713
187	1.975744472	2.825338358
188	1.972666661	2.821401639
189	1.969700402	2.817516016
190	1.964883357	2.812168415
191	1.959411906	2.805255028
192	1.954260499	2.798927415
193	1.949550424	2.792465056
194	1.941103056	2.782723072
195	1.933807559	2.774343937
196	1.926763142	2.766192833
197	1.922593738	2.761097221
198	1.920387754	2.758189776
199	1.915436975	2.752465542
200	1.911639212	2.746974214
201	1.907654299	2.742732391
202	1.905489752	2.739591066
203	1.902124238	2.735748397
204	1.897979622	2.731301725
205	1.894960647	2.727594245
206	1.889742741	2.7200324
207	1.885907788	2.715347409
208	1.881928408	2.709861411
209	1.880069748	2.707683527
210	1.875176984	2.701165075
211	1.870966353	2.696421785
212	1.86910057	2.694512226
213	1.866038013	2.690813212
214	1.862318385	2.685866468
215	1.85953214	2.682545052
216	1.855996943	2.678508285
217	1.851859196	2.674236508
218	1.84881757	2.670464994
219	1.845437722	2.667096733
220	1.843246023	2.664298678
221	1.839925603	2.659704758
222	1.838627908	2.657607925
223	1.835981463	2.654417831
224	1.833227038	2.650889877
225	1.828263635	2.645412216
226	1.826483163	2.643043937
227	1.822864577	2.63881994
228	1.821342875	2.636001765
229	1.819420537	2.63382021
230	1.81715314	2.630511415
231	1.813297709	2.626815937
232	1.809955539	2.62217409
233	1.804483535	2.616167629
234	1.801083081	2.61221724
