iter	Passed	Remaining
0	236	235927
1	319	159571
2	372	123884
3	437	109029
4	510	101550
5	616	102124
6	680	96585
7	750	93057
8	842	92751
9	913	90482
10	979	88084
11	1060	87290
12	1140	86619
13	1209	85149
14	1279	84045
15	1378	84796
16	1440	83313
17	1532	83592
18	1616	83439
19	1696	83130
20	1773	82700
21	1853	82389
22	1938	82364
23	2034	82725
24	2112	82378
25	2222	83251
26	2302	82963
27	2398	83255
28	2477	82959
29	2569	83091
30	2642	82611
31	2714	82108
32	2795	81918
33	2877	81767
34	2974	82005
35	3057	81866
36	3121	81251
37	3207	81209
38	3293	81158
39	3383	81198
40	3458	80899
41	3524	80383
42	3602	80175
43	3687	80120
44	3791	80468
45	3878	80438
46	3961	80328
47	4042	80167
48	4123	80034
49	4208	79954
50	4323	80459
51	4406	80330
52	4500	80415
53	4589	80400
54	4686	80519
55	4755	80171
56	4850	80252
57	4943	80296
58	5079	81015
59	5179	81145
60	5273	81177
61	5370	81250
62	5455	81141
63	5533	80932
64	5623	80890
65	5705	80736
66	5787	80591
67	5885	80667
68	5977	80658
69	6083	80819
70	6188	80972
71	6281	80959
72	6360	80764
73	6452	80746
74	6540	80663
75	6624	80544
76	6719	80550
77	6815	80558
78	6897	80416
79	7000	80510
80	7098	80541
81	7191	80508
82	7289	80537
83	7381	80492
84	7491	80647
85	7579	80552
86	7679	80594
87	7802	80861
88	7888	80749
89	7981	80700
90	8068	80591
91	8127	80212
92	8215	80122
93	8317	80165
94	8416	80182
95	8497	80022
96	8579	79867
97	8668	79785
98	8763	79755
99	8847	79624
100	8940	79574
101	9037	79567
102	9148	79674
103	9242	79623
104	9322	79464
105	9395	79238
106	9479	79116
107	9572	79062
108	9660	78970
109	9762	78984
110	9843	78835
111	9916	78619
112	9994	78451
113	10084	78377
114	10178	78326
115	10257	78170
116	10336	78007
117	10446	78081
118	10531	77967
119	10608	77794
120	10688	77647
121	10772	77526
122	10854	77389
123	10975	77538
124	11056	77392
125	11133	77228
126	11242	77281
127	11326	77164
128	11407	77025
129	11496	76936
130	11593	76905
131	11701	76945
132	11787	76839
